粤港澳台测试,#genre#
翡翠台(失效),http://dadiao.akjp.cn:1936/0.m3u8
翡翠台(失效),http://gg.gg/GDTVB4
翡翠台(失效),http://c-leung.homeip.net:8011/bysid/1
翡翠台(失效),http://116.205.130.205:66/6/807tv.php?tid=gt&id=0
翡翠台(失效),http://zb.688768.xyz/jiudian/jddb.php?member=liubwdefd34&playurl=http://27.47.71.4:808/hls/36/index.m3u8
翡翠台(失效),http://198.16.64.10:8278/tvbxinhe_twn/playlist.m3u8?tid=ME2E8352893183528931&ct=19225&tsum=5f852c878e02000708a055c6b08a9405
翡翠台(失效),http://120.84.96.96:808/hls/25/index.m3u8
翡翠台(失效),http://120.84.96.85:808/hls/25/index.m3u8
翡翠台(失效),http://120.84.96.126:808/hls/25/index.m3u8
翡翠台(失效),http://198.16.64.10:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
翡翠台(失效),http://113.117.74.8:808/hls/67/index.m3u8
翡翠台(失效),http://198.16.64.10:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e
翡翠台(失效),http://iptv.weai.love/live?type=gdjy&ipdz=113.64.147,i&tvid=tvbfc
翡翠台(失效),http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571187&extension=ts
翡翠台(失效),http://162.19.247.76:22222/live/tvbfc/index.m3u8
翡翠台(失效),http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
翡翠台(失效),http://36.36.200.212:9901/tsfile/live/1008_1.m3u8?key=txiptv&url=tvzb.com
翡翠台(失效),http://107.167.12.58:27347/livehttpplay?channel_id=30025
翡翠台(失效),http://107.167.12.58:27347/livehttpplay?channel_id=20127
翡翠台(失效),http://107.167.12.58:27347/livehttpplay?channel_id=30025
翡翠台(失效),http://107.167.12.58:27347/livehttpplay?channel_id=20124J2
翡翠台(失效),http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=MA3A7166615971666159&ct=19226&tsum=abeff4c5d0d1ad10147a21ebc6cc5182
翡翠台(失效),http://113.117.74.12:8081/hls/25/index.m3u8
翡翠台(失效),http://66.181.39.224/ml.php?id=jade_twn

翡翠台(失效),mitv://147.135.39.171:9906/659ad8a2000d34621fa351dc7e476ef7
翡翠台(失效),mitv://147.135.39.171:9906/658f93d5000d4d27f39e83494fe03749
翡翠台(失效),mitv://147.135.39.171:9906/65a4e8350007683646f034780a032936
翡翠台(失效),http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=MDAD1890217018902170&ct=19249&tsum=36346362d72a1e85802fa5d3eee3861c
翡翠台(失效),http://113.86.206.78:9999/tsfile/live/1055_1.m3u8

翡翠台(失效),http://ali.hlspull.yximgs.com/live/huanqiuhklivefhwwjpthjyjtjjjxcxbfhjjfjvhdtjdvbtvjsjxjfsjjcvbctvbfc.flv
翡翠台(失效),https://fake-stream.livednow.com/mdvb/jade?token=321b0a36ca2aed06ebaa85d8012df385&user_id=1254950701&user_token=9f7ce824f2caceacca70a2fc1cd96236
翡翠台(失效),http://iptv.hiper25.com:42487/TVB/video.m3u8?token=1710447330
翡翠台(失效),https://live.astradamy.com/tvbfc/index.m3u8
翡翠台(失效),http://abcnew.site:8880/3ca7123n11/ewfr543ds/71040
翡翠台(失效),http://listplay4k.live:8080/play/sEqGlXBK924GUbV9yuY_SF1Q-T0Nylbf5RLDqEokQF0/ts
翡翠台(失效),http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=571187
翡翠台(失效),http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=153505
翡翠台(失效),http://ali.hlspull.yximgs.com/live/twlivefhwwzpthzyztzzzxcxbfhzzfzvhdtzdvbtvzszxzfszzcvbctvbfc.flv
翡翠台(失效),http://198.16.100.90:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e
翡翠台(失效),https://iptv.hiper25.com/TVB/video.m3u8

翡翠台(失效),http://r.jdshipin.com/qClQf
翡翠台(失效),http://cdn.jdshipin.com:8880/gdfc1080p.php
翡翠台(失效),http://r.jdshipin.com/qrfbg
翡翠台(失效),http://r.jdshipin.com/62WM7
翡翠台(失效),http://198.16.64.10:8278/jade_twn/playlist.m3u8?tid=MA3A7166615971666159&ct=19226&tsum=abeff4c5d0d1ad10147a21ebc6cc5182
